n_age,b_gender,n_income,n_daysWithoutFrequency,n_lifetimeValue,b_useByTime,b_waterActivities,b_fitnessActivities,b_teamActivities,b_combatActivities,n_allowedWeeklyVisits,n_allowedVisits,n_realVisits,n_renewals,b_dropout,n_timeAsCustomer,c_timeAsCustomer,n_recency,c_recency,n_frequenciesWeek,c_frequenciesWeek,n_classesWeek,c_classesWeek,n_classesVisit,c_classesVisit,n_ratioUtilization,c_utilization,n_spentPerMonth,b_rareActivities
43.0,0,5230.0,1.0,76.59999999999997,0,0.0,1.0,0.0,0.0,7.0,60.97,2.0,0.0,1,103.0,3-6m,1275,>12m,0.33980582524271846,0.2-0.5,0.0,0,0.0,0,3.2803017877644742,<25%,22.310679611650478,0.0
9.0,1,0.0,25.0,294.2,0,1.0,0.0,0.0,0.0,2.0,17.42,1.0,3.0,1,699.0,12m+,482,>12m,0.20028612303290416,0.2-0.5,0.1301859799713877,0.1-0.5,0.65,0.5-1,5.74052812858783,<25%,12.626609442060087,0.0
23.0,1,1910.0,25.0,45.10000000000002,0,0.0,1.0,0.0,0.0,7.0,30.03,1.0,0.0,1,198.0,6-12m,941,>12m,0.03535353535353535,<0.1,0.0,0,0.0,0,3.33000333000333,<25%,6.833333333333337,0.0
19.0,1,1360.0,48.0,173.9,0,0.0,1.0,0.0,0.0,7.0,62.02,4.0,1.0,1,284.0,6-12m,99,3-12m,0.6161971830985915,0.5-1,0.0,0,0.0,0,6.449532408900354,<25%,18.369718309859156,0.0
43.0,1,4036.0,1.0,849.8,1,0.0,1.0,0.0,0.0,7.0,21.98,9.0,3.0,1,1140.0,12m+,1,<1w,1.3140350877192983,1-2,0.0,0,0.0,0,40.94631483166515,25-50%,22.36315789473684,0.0
38.0,0,4790.0,74.0,887.7,0,0.0,1.0,1.0,1.0,2.0,8.579999999999998,0.0,4.0,1,1307.0,12m+,530,>12m,0.09640397857689365,<0.1,0.09104820198928845,<0.1,0.9444444444444444,0.5-1,0.0,<25%,20.37566947207345,0.0
27.0,0,2320.0,132.0,310.2,0,1.0,0.0,0.0,0.0,7.0,60.97,0.0,1.0,1,282.0,6-12m,150,3-12m,0.5709219858156028,0.5-1,0.0,0,0.0,0,0.0,<25%,32.99999999999999,0.0
23.0,1,2500.0,12.0,30.0,0,0.0,1.0,0.0,0.0,7.0,28.98,8.0,0.0,1,29.0,<1m,469,>12m,1.9310344827586208,1-2,0.0,0,0.0,0,27.605244996549345,25-50%,31.03448275862069,0.0
3.0,0,0.0,1.0,836.3,0,1.0,0.0,0.0,0.0,2.0,14.859999999999996,5.0,2.0,0,757.0,12m+,1,<1w,0.3236459709379128,0.2-0.5,0.26816380449141347,0.1-0.5,0.8285714285714286,0.5-1,33.647375504710645,25-50%,33.14266842800528,0.0
23.0,1,2590.0,223.0,70.6,0,0.0,0.0,0.0,1.0,7.0,59.01,1.0,1.0,1,237.0,6-12m,1729,>12m,0.08860759493670886,<0.1,0.0,0,0.0,0,1.6946280291476021,<25%,8.936708860759492,0.0
